"Reported Trait","Mapped Trait",Tissues,"Gene Symbol","Ensembl ID","Gene Type",Method/Software,"Effect Size",P-value,Publication
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",CERS2,ENSG00000143418.19,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.89E+00,1.00E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Sun Exposed",UBLCP1,ENSG00000164332.7,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.89E+00,1.00E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",SLC22A4,ENSG00000197208.5,protein-coding,"Transcriptome-Wide Summary Statistics-based Mendelian Randomization(TWMR)",'-6.40E-02,1.00E-06,TWASP000090
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Epithelial Tissue",PDCD5,ENSG00000105185.11,protein-coding,S-PrediXcan,'-2.77E+00,1.00E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,NPIPB9,ENSG00000196993.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.73E+00,1.00E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",SBK1,ENSG00000188322.4,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.11E+00,1.00E-09,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",SBK1,ENSG00000188322.4,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.11E+00,1.00E-09,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Transverse Colon",P4HA2,ENSG00000072682.18,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",7.44E+00,1.00E-13,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Fibroblasts,MST1R,ENSG00000164078.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.44E+00,1.00E-13,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pancreas,HLA-DQA2,ENSG00000237541.3,protein-coding,Summary-PrediXcan(S-PrediXcan),'-1.03E+01,1.00E-24,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pancreas,HLA-DQA2,ENSG00000237541.3,protein-coding,Summary-PrediXcan(S-PrediXcan),'-1.03E+01,1.00E-24,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",HLA-DQA2,ENSG00000237541.3,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-1.25E+01,1.00E-35,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,CERS2,ENSG00000143418.19,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.89E+00,1.01E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",TRIP6,ENSG00000087077.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.89E+00,1.01E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",TCF19,ENSG00000137310.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.89E+00,1.01E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Fibroblasts,AC026904.1,ENSG00000233858.4,lincRNA,"Summary-Based PrediXcan(S-PrediXcan)",4.89E+00,1.01E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",BRD7,ENSG00000166164.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.89E+00,1.01E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Muscularis",IP6K2,ENSG00000068745.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.32E+00,1.01E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",PRKCB,ENSG00000166501.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.32E+00,1.01E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Transverse",TUFM,ENSG00000178952.10,protein-coding,FUSION,'-5.33E+00,1.01E-07,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Nucleus Accumbens",ERAP2,ENSG00000164308.16,protein-coding,Summary-PrediXcan(S-PrediXcan),5.32E+00,1.01E-07,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Nucleus Accumbens",ERAP2,ENSG00000164308.16,protein-coding,Summary-PrediXcan(S-PrediXcan),5.32E+00,1.01E-07,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,RBM6,ENSG00000004534.14,protein-coding,FUSION,'-5.73E+00,1.01E-08,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Putamen Basal Ganglia",ARFRP1,ENSG00000101246.19,protein-coding,Summary-PrediXcan(S-PrediXcan),5.73E+00,1.01E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Nerve Tibial",EDF1,ENSG00000107223.12,protein-coding,Summary-PrediXcan(S-PrediXcan),5.73E+00,1.01E-08,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Nerve Tibial",EDF1,ENSG00000107223.12,protein-coding,Summary-PrediXcan(S-PrediXcan),5.73E+00,1.01E-08,TWASP000056
