Gene Symbol	CHR	Start	end	Strand	Ensembl ID	Gene Type	Also Known As	Cytogenetic Region	Description	Summary
A1BG	chr19	58345178	58353499	-	ENSG00000121410.11	protein_coding	A1B|ABG|GAB|HYST2477	19q13.43	alpha-1-B glycoprotein	The protein encoded by this gene is a plasma glycoprotein of unknown function. The protein shows sequence similarity to the variable regions of some immunoglobulin supergene family member proteins. [provided by RefSeq, Jul 2008]
A1BG-AS1	chr19	58347751	58355183	+	ENSG00000268895.5	antisense	A1BG-AS|A1BGAS|NCRNA00181	19q13.43	A1BG antisense RNA 1	Biased expression in liver (RPKM 106.5) and spleen (RPKM 1.9)
A1CF	chr10	50799409	50885675	-	ENSG00000148584.14	protein_coding	ACF|ACF64|ACF65|APOBEC1CF|ASP	10q11.23	APOBEC1 complementation factor	Mammalian apolipoprotein B mRNA undergoes site-specific C to U deamination, which is mediated by a multi-component enzyme complex containing a minimal core composed of APOBEC-1 and a complementation factor encoded by this gene. The gene product has three non-identical RNA recognition motifs and belongs to the hnRNP R family of RNA-binding proteins. It has been proposed that this complementation factor functions as an RNA-binding subunit and docks APOBEC-1 to deaminate the upstream cytidine. Studies suggest that the protein may also be involved in other RNA editing or RNA processing events. Several transcript variants encoding a few different isoforms have been found for this gene. [provided by RefSeq, Nov 2010]
A2M	chr12	9067664	9116229	-	ENSG00000175899.14	protein_coding	A2MD|CPAMD5|FWP007|S863-7	12p13.31	alpha-2-macroglobulin	The protein encoded by this gene is a protease inhibitor and cytokine transporter. It uses a bait-and-trap mechanism to inhibit a broad spectrum of proteases, including trypsin, thrombin and collagenase. It can also inhibit inflammatory cytokines, and it thus disrupts inflammatory cascades. Mutations in this gene are a cause of alpha-2-macroglobulin deficiency. This gene is implicated in Alzheimers disease (AD) due to its ability to mediate the clearance and degradation of A-beta, the major component of beta-amyloid deposits. A related pseudogene, which is also located on the p arm of chromosome 12, has been identified. [provided by RefSeq, Nov 2016]
A2M-AS1	chr12	9065177	9068060	+	ENSG00000245105.2	antisense	-	12p13.31	A2M antisense RNA 1	-
A2ML1	chr12	8822472	8887001	+	ENSG00000166535.19	protein_coding	CPAMD9|OMS|p170	12p13.31	alpha-2-macroglobulin like 1	This gene encodes a member of the alpha-macroglobulin superfamily. The encoded protein is thought to be an N-glycosylated monomeric protein that acts as an inhibitor of several proteases. It has been shown to form covalent interactions with proteases, and has been reported as the p170 antigen recognized by autoantibodies in the autoimmune disease paraneoplastic pemphigus (PNP; PMID:20805888). Mutations in these gene have also been associated with some cases of Noonan syndrome (NS; PMID:24939586) as well as some cases of otitis media (PMID:26121085). Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Aug 2015]
A2ML1-AS1	chr12	8776219	8830947	-	ENSG00000256661.1	antisense	-	12p13.31	A2ML1 antisense RNA 1	-
A3GALT2	chr1	33306766	33321098	-	ENSG00000184389.9	protein_coding	A3GALT2P|IGB3S|IGBS3S	1p35.1	alpha 1,3-galactosyltransferase 2	Low expression observed in reference dataset
A4GALT	chr22	42692121	42721298	-	ENSG00000128274.15	protein_coding	A14GALT|A4GALT1|Gb3S|P(k)|P1|P1PK|PK	22q13.2	alpha 1,4-galactosyltransferase (P blood group)	The protein encoded by this gene catalyzes the transfer of galactose to lactosylceramide to form globotriaosylceramide, which has been identified as the P(k) antigen of the P blood group system. This protein, a type II membrane protein found in the Golgi, is also required for the synthesis of the bacterial verotoxins receptor. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Dec 2015]
AAAS	chr12	53307456	53324864	-	ENSG00000094914.12	protein_coding	AAA|AAASb|ADRACALA|ADRACALIN|ALADIN|GL003	12q13.13	aladin WD repeat nucleoporin	The protein encoded by this gene is a member of the WD-repeat family of regulatory proteins and may be involved in normal development of the peripheral and central nervous system. The encoded protein is part of the nuclear pore complex and is anchored there by NDC1. Defects in this gene are a cause of achalasia-addisonianism-alacrima syndrome (AAAS), also called triple-A syndrome or Allgrove syndrome. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2010]
